,dob,company_id,last_active,score,member_since,state,first_name,last_name,col_year
3,1989/04/26,8,04/15/2018,76,1976,New Jersey,Laura,Howard,1989
17,1986/11/05,4,04/23/2018,47,1978,Washington,Samantha,Jackson,1986
19,1997/07/10,19,01/29/2018,43,1985,Ohio,Christopher,Navarro,1997
20,1995/11/15,17,08/23/2018,40,1976,Pennsylvania,Laura,Hawkins,1995
21,1987/02/04,10,09/18/2018,37,1983,New Jersey,Sabrina,Fields,1987
23,1992/03/21,3,01/07/2019,68,1991,Maine,Brian,Oliver,1992
31,1996/12/20,13,11/04/2018,73,1992,Indiana,Ashley,Green,1996
36,1986/04/22,19,12/27/2018,59,1983,South Carolina,Erica,Rose,1986
38,1994/08/16,11,07/31/2018,54,1976,North Dakota,Michael,Pena,1994
45,1988/01/13,13,08/20/2018,45,1972,Hawaii,Robin,Thomas,1988
58,1978/04/16,2,11/18/2018,37,1973,Maine,Jessica,Lowe,1978
74,1990/02/27,15,07/08/2018,55,1980,Wyoming,Travis,Miller,1990
76,1998/09/06,11,06/19/2018,43,1975,Maine,Melanie,Frey,1998
82,1993/01/13,18,01/21/2018,65,1980,North Carolina,Clinton,Decker,1993
87,1984/11/13,16,08/05/2018,65,1982,Maryland,Marcus,Nelson,1984
89,1978/07/29,3,06/03/2018,58,1975,Florida,Stephanie,Scott,1978
99,1997/04/11,7,09/08/2018,91,1979,New Mexico,Eric,Mann,1997
102,1977/09/14,4,12/09/2018,54,1970,Connecticut,Jennifer,Johnson,1977
116,1994/09/22,12,06/20/2018,36,1992,Maryland,Tammy,Cook DVM,1994
118,1985/07/10,2,02/03/2018,67,1972,Connecticut,Michael,Anderson,1985
119,1995/03/26,12,01/20/2018,70,1990,Minnesota,Sara,Brooks,1995
120,1977/09/25,17,01/06/2019,36,1973,Wisconsin,Brian,Bird,1977
123,1994/02/01,19,07/08/2018,94,1976,Virginia,Jacob,Davis,1994
124,1991/10/27,9,05/25/2018,54,1982,New Mexico,Alexandria,Martinez,1991
126,1997/02/22,6,10/29/2018,30,1971,New Jersey,Timothy,Smith,1997
133,1997/12/22,18,05/09/2018,40,1995,New Mexico,John,Morton,1997
136,1989/04/01,7,08/18/2018,76,1985,Montana,Brianna,Wagner,1989
138,1996/04/01,17,02/08/2018,84,1991,Colorado,Jeremy,Rangel,1996
156,1978/01/04,13,02/13/2018,96,1970,Oregon,Ashley,Hoffman,1978
160,1991/11/20,14,05/17/2018,74,1971,Utah,Andrea,Reynolds,1991
161,1997/09/02,15,04/27/2018,80,1974,Washington,Christopher,Conner,1997
169,1997/10/14,10,06/01/2018,91,1985,California,Michael,Holmes,1997
170,1980/05/27,19,09/29/2018,48,1974,Utah,Jamie,Johnston,1980
172,1978/11/10,12,07/27/2018,69,1977,Virginia,Natalie,Lee,1978
176,1992/08/09,1,06/15/2018,95,1983,Missouri,David,Anderson,1992
178,1998/11/11,13,07/18/2018,30,1994,Indiana,Charles,Greer,1998
181,1990/12/06,4,03/25/2018,34,1982,Nevada,Kelly,Anderson,1990
182,1991/05/29,8,06/21/2018,84,1973,Rhode Island,Kelly,Yang,1991
186,1992/09/15,18,10/24/2018,61,1981,Montana,Jessica,Macias,1992
191,1985/01/14,13,02/03/2018,93,1975,New Hampshire,Amanda,Rice,1985
198,1995/01/25,6,10/16/2018,41,1975,Montana,Jamie,Moore,1995
199,1989/04/15,7,03/22/2018,76,1988,North Dakota,Valerie,Kelly,1989
202,1997/10/10,4,01/09/2018,60,1980,Colorado,Shaun,Burns,1997
204,1976/06/10,5,03/14/2018,78,1971,Oregon,Gregory,Beard,1976
205,1988/03/07,14,12/02/2018,44,1983,Vermont,Jeremy,Roy,1988
214,1998/05/14,12,09/23/2018,57,1987,Arizona,Sean,Scott,1998
217,1990/07/24,18,04/15/2018,51,1980,Alaska,James,Powers,1990
223,1993/07/01,14,12/30/2018,42,1985,West Virginia,Gerald,Zamora,1993
229,1996/12/19,7,09/16/2018,51,1989,Montana,Michael,Dickerson,1996
232,1998/03/08,2,06/08/2018,84,1983,Vermont,Randy,Hart,1998
234,1992/06/02,12,09/05/2018,80,1980,Maryland,Donald,Torres,1992
238,1998/10/16,16,02/04/2018,70,1980,Washington,Emily,Spencer MD,1998
240,1998/06/24,9,09/28/2018,53,1990,Louisiana,Theodore,Gray,1998
242,1990/02/20,4,08/04/2018,56,1979,Louisiana,Dennis,Payne,1990
243,1991/10/20,2,11/05/2018,73,1970,South Carolina,Kristen,Smith,1991
249,1981/08/08,6,06/20/2018,76,1973,Iowa,Lisa,Smith,1981
250,1993/05/27,16,10/30/2018,69,1983,Arizona,Samantha,Johnson,1993
264,1983/06/04,11,02/21/2018,52,1979,Maine,Kimberly,Taylor,1983
273,1982/05/09,16,06/08/2018,63,1971,Minnesota,James,Jackson,1982
288,1985/12/16,2,03/10/2018,81,1984,Michigan,Jennifer,Crane,1985
297,1997/09/19,20,10/20/2018,61,1982,Tennessee,Christina,Johnson,1997
300,1996/11/15,6,11/09/2018,88,1995,Utah,Anna,Moore,1996
301,1985/05/23,0,03/21/2018,81,1970,Nebraska,Judy,Wang,1985
309,1997/02/04,13,04/05/2018,79,1986,Indiana,Bethany,Massey PhD,1997
310,1996/09/16,5,12/05/2018,52,1978,Nebraska,Christina,Branch,1996
315,1993/06/28,14,02/21/2018,95,1970,Idaho,Lisa,Munoz,1993
316,1994/11/02,12,05/29/2018,40,1981,Kentucky,Luis,Lewis,1994
318,1993/03/05,17,11/08/2018,34,1972,New Hampshire,Robert,Howard,1993
321,1997/09/02,12,04/30/2018,98,1983,Missouri,Steven,Duke,1997
324,1996/03/19,2,12/31/2018,36,1980,Nebraska,Alexandra,Golden,1996
326,1986/09/18,19,08/07/2018,78,1979,New Hampshire,Kimberly,Ortega,1986
327,1993/08/13,6,07/18/2018,55,1972,Utah,Jodi,Gomez,1993
335,1989/12/08,13,12/17/2018,68,1983,Alaska,Rebecca,Jensen,1989
336,1976/05/01,16,06/19/2018,94,1973,Idaho,Mrs.,Susan Gates,1976
338,1998/10/12,10,09/11/2018,94,1990,Nebraska,Brian,Page,1998
339,1996/04/04,0,05/30/2018,64,1983,Texas,Eddie,Mckee,1996
343,1984/07/30,14,03/11/2018,83,1975,Iowa,John,Bray,1984
347,1996/07/28,7,05/09/2018,98,1986,Georgia,Patrick,Roberson,1996
348,1993/02/09,14,12/22/2018,90,1970,New Mexico,Meghan,Daugherty,1993
356,1982/04/15,2,11/10/2018,66,1981,New Mexico,Laura,Miller,1982
359,1982/01/01,18,02/12/2018,94,1975,Montana,Eric,Esparza,1982
361,1998/04/07,16,07/06/2018,55,1990,Michigan,Alexis,Jones,1998
362,1997/08/01,18,04/14/2018,98,1996,Louisiana,Ashley,Phillips,1997
364,1989/07/15,20,02/26/2018,42,1987,Missouri,Anna,Hudson,1989
375,1979/07/01,14,12/07/2018,93,1977,Florida,Crystal,Martinez,1979
378,1989/07/22,16,07/24/2018,66,1970,Vermont,William,Cook,1989
383,1982/06/04,4,02/13/2018,91,1980,Oklahoma,John,Patton,1982
389,1983/12/15,19,06/17/2018,47,1978,Maine,Jonathan,Bates,1983
393,1998/01/24,13,10/04/2018,77,1971,Louisiana,Richard,Brown,1998
397,1989/07/05,17,12/11/2018,82,1974,Vermont,Andrew,Oliver,1989
398,1978/12/17,8,10/25/2018,86,1971,West Virginia,Taylor,Vazquez,1978
400,1997/07/11,5,10/28/2018,63,1971,Louisiana,Ms.,Denise Jones,1997
401,1988/01/10,20,05/10/2018,49,1986,Rhode Island,Shelly,Joseph,1988
405,1978/04/11,11,03/26/2018,97,1974,South Carolina,Christopher,Buchanan,1978
416,1995/11/12,5,06/30/2018,81,1990,Texas,Samuel,Allen,1995
418,1979/04/13,7,05/02/2018,88,1974,North Dakota,Jennifer,Cline,1979
427,1992/12/14,5,03/17/2018,62,1989,Virginia,Jordan,Jimenez,1992
429,1988/06/04,11,08/23/2018,88,1973,Washington,Bianca,Clayton,1988
447,1990/06/27,9,09/10/2018,68,1973,South Dakota,Andrew,Lucas,1990
